id_venta,producto,precio,cantidad,fecha_venta,categoria
792,9,1825,5.0,1970-01-01 00:00:00.000000011,0
811,19,125,5.0,1970-01-01 00:00:00.000000011,0
1156,25,2542,3.0,1970-01-01 00:00:00.000000011,1
1372,14,367,8.0,1970-01-01 00:00:00.000000011,1
1546,25,150,4.0,1970-01-01 00:00:00.000000011,1
1697,15,914,9.0,1970-01-01 00:00:00.000000011,1
1710,22,1703,2.0,1970-01-01 00:00:00.000000011,1
2959,23,2298,9.0,1970-01-01 00:00:00.000000011,2
318,24,2092,11.0,1970-01-01 00:00:00.000000023,0
419,6,1719,8.0,1970-01-01 00:00:00.000000023,0
1374,2,2485,5.0,1970-01-01 00:00:00.000000023,1
1571,13,288,1.0,1970-01-01 00:00:00.000000023,1
1814,2,1860,2.0,1970-01-01 00:00:00.000000023,1
2769,23,1132,11.0,1970-01-01 00:00:00.000000023,2
2794,28,1772,9.0,1970-01-01 00:00:00.000000023,2
2824,28,1928,5.0,1970-01-01 00:00:00.000000023,2
446,8,1613,4.0,1970-01-01 00:00:00.000000035,0
630,0,1883,9.0,1970-01-01 00:00:00.000000035,0
794,16,2519,7.0,1970-01-01 00:00:00.000000035,0
882,9,45,9.0,1970-01-01 00:00:00.000000035,0
969,6,2360,12.0,1970-01-01 00:00:00.000000035,0
1445,18,723,10.0,1970-01-01 00:00:00.000000035,1
1971,13,585,11.0,1970-01-01 00:00:00.000000035,1
2209,23,828,1.0,1970-01-01 00:00:00.000000035,2
256,8,2263,8.0,1970-01-01 00:00:00.000000047,0
606,8,162,11.0,1970-01-01 00:00:00.000000047,0
704,16,1499,9.0,1970-01-01 00:00:00.000000047,0
1362,14,248,11.0,1970-01-01 00:00:00.000000047,1
2155,3,2220,10.0,1970-01-01 00:00:00.000000047,2
2947,10,184,3.0,1970-01-01 00:00:00.000000047,2
1495,18,1012,6.0,1970-01-01 00:00:00.000000059,1
1572,5,1596,9.0,1970-01-01 00:00:00.000000059,1
2180,7,57,9.0,1970-01-01 00:00:00.000000059,2
2487,10,1322,3.0,1970-01-01 00:00:00.000000059,2
2603,27,2270,5.0,1970-01-01 00:00:00.000000059,2
2885,3,8,6.0,1970-01-01 00:00:00.000000059,2
17,11,215,11.0,1970-01-01 00:00:00.000000071,0
183,12,2171,8.0,1970-01-01 00:00:00.000000071,0
560,0,1507,6.0,1970-01-01 00:00:00.000000071,0
632,9,783,12.0,1970-01-01 00:00:00.000000071,0
699,6,886,12.0,1970-01-01 00:00:00.000000071,0
1150,22,870,10.0,1970-01-01 00:00:00.000000071,1
1400,22,687,5.0,1970-01-01 00:00:00.000000071,1
1496,25,2469,11.0,1970-01-01 00:00:00.000000071,1
1524,2,1708,8.0,1970-01-01 00:00:00.000000071,1
1550,22,1350,7.0,1970-01-01 00:00:00.000000071,1
2174,3,419,11.0,1970-01-01 00:00:00.000000071,2
2773,27,180,5.0,1970-01-01 00:00:00.000000071,2
2920,7,752,2.0,1970-01-01 00:00:00.000000071,2
84,16,963,4.0,1970-01-01 00:00:00.000000083,0
349,6,1508,6.0,1970-01-01 00:00:00.000000083,0
687,11,705,8.0,1970-01-01 00:00:00.000000083,0
696,8,840,8.0,1970-01-01 00:00:00.000000083,0
1734,2,1327,4.0,1970-01-01 00:00:00.000000083,1
2173,27,1416,12.0,1970-01-01 00:00:00.000000083,2
2283,27,1829,11.0,1970-01-01 00:00:00.000000083,2
2501,21,2283,1.0,1970-01-01 00:00:00.000000083,2
2918,26,2152,10.0,1970-01-01 00:00:00.000000083,2
386,8,2242,8.0,1970-01-01 00:00:00.000000095,0
599,6,1226,5.0,1970-01-01 00:00:00.000000095,0
633,12,1571,2.0,1970-01-01 00:00:00.000000095,0
714,16,1095,8.0,1970-01-01 00:00:00.000000095,0
871,19,2084,11.0,1970-01-01 00:00:00.000000095,0
1132,5,766,10.0,1970-01-01 00:00:00.000000095,1
1443,20,1760,8.0,1970-01-01 00:00:00.000000095,1
1584,2,2579,7.0,1970-01-01 00:00:00.000000095,1
1617,15,1785,8.0,1970-01-01 00:00:00.000000095,1
1649,4,1016,11.0,1970-01-01 00:00:00.000000095,1
2917,10,549,7.0,1970-01-01 00:00:00.000000095,2
315,1,579,9.0,1970-01-01 00:00:00.000000107,0
553,12,2496,9.0,1970-01-01 00:00:00.000000107,0
817,11,153,1.0,1970-01-01 00:00:00.000000107,0
830,0,1754,10.0,1970-01-01 00:00:00.000000107,0
854,16,1110,5.0,1970-01-01 00:00:00.000000107,0
1090,22,1720,8.0,1970-01-01 00:00:00.000000107,1
1464,2,951,5.0,1970-01-01 00:00:00.000000107,1
1933,20,1196,6.0,1970-01-01 00:00:00.000000107,1
308,24,814,11.0,1970-01-01 00:00:00.000000119,0
718,24,766,8.0,1970-01-01 00:00:00.000000119,0
804,16,2285,7.0,1970-01-01 00:00:00.000000119,0
963,12,833,5.0,1970-01-01 00:00:00.000000119,0
1167,15,521,6.0,1970-01-01 00:00:00.000000119,1
1234,2,961,7.0,1970-01-01 00:00:00.000000119,1
1319,4,2096,12.0,1970-01-01 00:00:00.000000119,1
1885,18,544,10.0,1970-01-01 00:00:00.000000119,1
2268,26,1261,2.0,1970-01-01 00:00:00.000000119,2
2325,3,453,11.0,1970-01-01 00:00:00.000000119,2
2761,21,767,9.0,1970-01-01 00:00:00.000000119,2
243,12,1453,1.0,1970-01-01 00:00:00.000000131,0
1441,13,1379,11.0,1970-01-01 00:00:00.000000131,1
2428,26,384,10.0,1970-01-01 00:00:00.000000131,2
2583,27,1769,10.0,1970-01-01 00:00:00.000000131,2
2980,7,276,12.0,1970-01-01 00:00:00.000000131,2
88,24,244,9.0,1970-01-01 00:00:00.000000143,0
501,19,912,6.0,1970-01-01 00:00:00.000000143,0
507,11,286,1.0,1970-01-01 00:00:00.000000143,0
669,19,2514,5.0,1970-01-01 00:00:00.000000143,0
987,11,59,3.0,1970-01-01 00:00:00.000000143,0
1548,5,921,12.0,1970-01-01 00:00:00.000000143,1
2822,29,1503,1.0,1970-01-01 00:00:00.000000143,2
2924,28,831,1.0,1970-01-01 00:00:00.000000143,2
20,0,2350,2.0,1970-01-01 00:00:00.000000155,0
53,12,399,7.0,1970-01-01 00:00:00.000000155,0
608,24,1681,10.0,1970-01-01 00:00:00.000000155,0
993,12,2551,1.0,1970-01-01 00:00:00.000000155,0
1065,18,1139,6.0,1970-01-01 00:00:00.000000155,1
1599,4,2513,12.0,1970-01-01 00:00:00.000000155,1
1638,5,629,9.0,1970-01-01 00:00:00.000000155,1
1685,18,2220,3.0,1970-01-01 00:00:00.000000155,1
2685,3,699,10.0,1970-01-01 00:00:00.000000155,2
169,19,1995,9.0,1970-01-01 00:00:00.000000167,0
236,8,488,9.0,1970-01-01 00:00:00.000000167,0
260,0,36,9.0,1970-01-01 00:00:00.000000167,0
977,11,1933,5.0,1970-01-01 00:00:00.000000167,0
1271,13,515,2.0,1970-01-01 00:00:00.000000167,1
2098,26,1972,5.0,1970-01-01 00:00:00.000000167,2
2196,17,813,1.0,1970-01-01 00:00:00.000000167,2
2590,7,2572,6.0,1970-01-01 00:00:00.000000167,2
2788,26,780,8.0,1970-01-01 00:00:00.000000167,2
2803,27,2480,5.0,1970-01-01 00:00:00.000000167,2
2874,28,454,2.0,1970-01-01 00:00:00.000000167,2
113,12,1979,10.0,1970-01-01 00:00:00.000000179,0
503,12,44,3.0,1970-01-01 00:00:00.000000179,0
832,9,787,1.0,1970-01-01 00:00:00.000000179,0
962,9,1065,11.0,1970-01-01 00:00:00.000000179,0
1250,22,2556,6.0,1970-01-01 00:00:00.000000179,1
1431,13,2204,8.0,1970-01-01 00:00:00.000000179,1
1920,22,2260,6.0,1970-01-01 00:00:00.000000179,1
2129,23,196,6.0,1970-01-01 00:00:00.000000179,2
2220,7,812,1.0,1970-01-01 00:00:00.000000179,2
2477,10,992,9.0,1970-01-01 00:00:00.000000179,2
2789,23,393,11.0,1970-01-01 00:00:00.000000179,2
2935,3,2103,2.0,1970-01-01 00:00:00.000000179,2
131,19,1522,10.0,1970-01-01 00:00:00.000000191,0
178,24,2133,1.0,1970-01-01 00:00:00.000000191,0
368,24,2276,9.0,1970-01-01 00:00:00.000000191,0
627,11,1995,6.496538081107814,1970-01-01 00:00:00.000000191,0
684,16,167,6.0,1970-01-01 00:00:00.000000191,0
1750,22,2446,2.0,1970-01-01 00:00:00.000000191,1
2171,21,1995,6.496538081107814,1970-01-01 00:00:00.000000191,2
2284,28,1809,4.0,1970-01-01 00:00:00.000000191,2
2402,29,456,9.0,1970-01-01 00:00:00.000000191,2
2698,26,1997,7.0,1970-01-01 00:00:00.000000191,2
430,0,2140,5.0,1970-01-01 00:00:00.000000203,0
588,24,2101,3.0,1970-01-01 00:00:00.000000203,0
1626,25,65,6.0,1970-01-01 00:00:00.000000203,1
1900,22,1171,1.0,1970-01-01 00:00:00.000000203,1
2119,23,2209,11.0,1970-01-01 00:00:00.000000203,2
2244,3,1654,5.0,1970-01-01 00:00:00.000000203,2
2297,10,514,5.0,1970-01-01 00:00:00.000000203,2
2416,17,2139,10.0,1970-01-01 00:00:00.000000203,2
2431,21,1811,1.0,1970-01-01 00:00:00.000000203,2
2792,29,2224,5.0,1970-01-01 00:00:00.000000203,2
30,0,2009,6.0,1970-01-01 00:00:00.000000215,0
49,19,1389,6.0,1970-01-01 00:00:00.000000215,0
104,16,77,8.0,1970-01-01 00:00:00.000000215,0
323,12,610,7.0,1970-01-01 00:00:00.000000215,0
395,1,864,12.0,1970-01-01 00:00:00.000000215,0
851,19,2229,6.0,1970-01-01 00:00:00.000000215,0
1125,18,2539,12.0,1970-01-01 00:00:00.000000215,1
1332,5,2549,11.0,1970-01-01 00:00:00.000000215,1
1806,25,702,10.0,1970-01-01 00:00:00.000000215,1
2231,21,1114,7.0,1970-01-01 00:00:00.000000215,2
401,19,1813,8.0,1970-01-01 00:00:00.000000227,0
788,24,2244,3.0,1970-01-01 00:00:00.000000227,0
1007,15,2554,8.0,1970-01-01 00:00:00.000000227,1
1489,4,2476,3.0,1970-01-01 00:00:00.000000227,1
2187,10,219,2.0,1970-01-01 00:00:00.000000227,2
2588,26,2177,11.0,1970-01-01 00:00:00.000000227,2
2721,21,1058,6.0,1970-01-01 00:00:00.000000227,2
2897,10,1872,5.0,1970-01-01 00:00:00.000000227,2
2987,10,2368,8.0,1970-01-01 00:00:00.000000227,2
59,19,570,8.0,1970-01-01 00:00:00.000000239,0
754,16,2379,12.0,1970-01-01 00:00:00.000000239,0
1117,15,86,1.0,1970-01-01 00:00:00.000000239,1
1140,22,703,7.0,1970-01-01 00:00:00.000000239,1
1145,18,1753,11.0,1970-01-01 00:00:00.000000239,1
1286,25,2214,11.0,1970-01-01 00:00:00.000000239,1
1754,2,118,8.0,1970-01-01 00:00:00.000000239,1
1882,5,1334,12.0,1970-01-01 00:00:00.000000239,1
2560,7,2272,5.0,1970-01-01 00:00:00.000000239,2
442,9,745,1.0,1970-01-01 00:00:00.000000251,0
547,11,2200,6.0,1970-01-01 00:00:00.000000251,0
984,16,689,5.0,1970-01-01 00:00:00.000000251,0
1106,25,2380,2.0,1970-01-01 00:00:00.000000251,1
1808,5,1193,3.0,1970-01-01 00:00:00.000000251,1
1981,13,1268,8.0,1970-01-01 00:00:00.000000251,1
80,0,1351,5.0,1970-01-01 00:00:00.000000263,0
189,19,679,2.0,1970-01-01 00:00:00.000000263,0
839,19,2498,5.0,1970-01-01 00:00:00.000000263,0
947,11,452,1.0,1970-01-01 00:00:00.000000263,0
1592,5,2262,3.0,1970-01-01 00:00:00.000000263,1
2690,7,54,2.0,1970-01-01 00:00:00.000000263,2
39,19,1504,12.0,1970-01-01 00:00:00.000000275,0
164,16,1723,1.0,1970-01-01 00:00:00.000000275,0
196,8,2362,4.0,1970-01-01 00:00:00.000000275,0
768,24,2334,2.0,1970-01-01 00:00:00.000000275,0
1515,18,209,1.0,1970-01-01 00:00:00.000000275,1
1786,25,1055,3.0,1970-01-01 00:00:00.000000275,1
1977,15,1185,7.0,1970-01-01 00:00:00.000000275,1
2354,28,716,8.0,1970-01-01 00:00:00.000000275,2
2543,27,2375,7.0,1970-01-01 00:00:00.000000275,2
2623,27,698,7.0,1970-01-01 00:00:00.000000275,2
2982,29,682,9.0,1970-01-01 00:00:00.000000275,2
85,1,1864,2.0,1970-01-01 00:00:00.000000287,0
983,12,611,10.0,1970-01-01 00:00:00.000000287,0
1378,5,2518,4.0,1970-01-01 00:00:00.000000287,1
1485,18,1721,4.0,1970-01-01 00:00:00.000000287,1
1503,20,1022,9.0,1970-01-01 00:00:00.000000287,1
2121,21,16,6.0,1970-01-01 00:00:00.000000287,2
2340,7,254,5.0,1970-01-01 00:00:00.000000287,2
2502,29,2028,8.0,1970-01-01 00:00:00.000000287,2
2619,23,1831,10.0,1970-01-01 00:00:00.000000287,2
2735,3,2425,10.0,1970-01-01 00:00:00.000000287,2
2948,26,744,2.0,1970-01-01 00:00:00.000000287,2
73,12,1380,9.0,1970-01-01 00:00:00.000000299,0
621,19,1849,6.0,1970-01-01 00:00:00.000000299,0
787,11,156,6.0,1970-01-01 00:00:00.000000299,0
933,12,261,1.0,1970-01-01 00:00:00.000000299,0
1768,5,536,9.0,1970-01-01 00:00:00.000000299,1
2252,29,2330,8.0,1970-01-01 00:00:00.000000299,2
2305,3,797,9.0,1970-01-01 00:00:00.000000299,2
218,24,536,1.0,1970-01-01 00:00:00.000000311,0
310,0,93,2.0,1970-01-01 00:00:00.000000311,0
496,8,962,5.0,1970-01-01 00:00:00.000000311,0
1360,22,2463,2.0,1970-01-01 00:00:00.000000311,1
1744,2,732,12.0,1970-01-01 00:00:00.000000311,1
1877,15,1401,4.0,1970-01-01 00:00:00.000000311,1
2165,3,1227,9.0,1970-01-01 00:00:00.000000311,2
2218,26,1430,1.0,1970-01-01 00:00:00.000000311,2
2222,29,857,9.0,1970-01-01 00:00:00.000000311,2
2546,17,779,2.0,1970-01-01 00:00:00.000000311,2
617,11,721,4.0,1970-01-01 00:00:00.000000323,0
641,19,2472,10.0,1970-01-01 00:00:00.000000323,0
912,9,301,9.0,1970-01-01 00:00:00.000000323,0
1999,4,81,3.0,1970-01-01 00:00:00.000000323,1
2323,27,892,1.0,1970-01-01 00:00:00.000000323,2
2636,17,852,10.0,1970-01-01 00:00:00.000000323,2
2693,27,411,1.0,1970-01-01 00:00:00.000000323,2
373,12,762,11.0,1970-01-01 00:00:00.000000335,0
1452,5,2306,8.0,1970-01-01 00:00:00.000000335,1
1645,18,1998,3.0,1970-01-01 00:00:00.000000335,1
2228,26,1,7.0,1970-01-01 00:00:00.000000335,2
2240,7,1126,8.0,1970-01-01 00:00:00.000000335,2
